month,region,product,units_sold,revenue,marketing_spend,nps
2025-01,North,Analytics Pro,43,1346.76,840,43
2025-01,South,Insight Lite,50,2160.0,960,44
2025-01,East,Prism Cloud,57,3139.56,1080,45
2025-01,West,Data Forge,64,4285.44,1200,46
2025-02,North,Analytics Pro,46,1440.72,880,44
2025-02,South,Insight Lite,53,2289.6,1000,45
2025-02,East,Prism Cloud,60,3304.8,1120,46
2025-02,West,Data Forge,67,4486.32,1240,47
2025-03,North,Analytics Pro,49,1534.68,920,45
2025-03,South,Insight Lite,56,2419.2,1040,46
2025-03,East,Prism Cloud,63,3470.04,1160,47
2025-03,West,Data Forge,70,4687.2,1280,48
2025-04,North,Analytics Pro,52,1628.64,960,46
2025-04,South,Insight Lite,59,2548.8,1080,47
2025-04,East,Prism Cloud,66,3635.28,1200,48
2025-04,West,Data Forge,73,4888.08,1320,49
2025-05,North,Analytics Pro,55,1722.6,1000,42
2025-05,South,Insight Lite,62,2678.4,1120,43
2025-05,East,Prism Cloud,69,3800.52,1240,44
2025-05,West,Data Forge,76,5088.96,1360,45
2025-06,North,Analytics Pro,58,1816.56,1040,43
2025-06,South,Insight Lite,65,2808.0,1160,44
2025-06,East,Prism Cloud,72,3965.76,1280,45
2025-06,West,Data Forge,79,5289.84,1400,46
2025-07,North,Analytics Pro,61,1910.52,1080,44
2025-07,South,Insight Lite,68,2937.6,1200,45
2025-07,East,Prism Cloud,75,4131.0,1320,46
2025-07,West,Data Forge,82,5490.72,1440,47
2025-08,North,Analytics Pro,64,2004.48,1120,45
2025-08,South,Insight Lite,71,3067.2,1240,46
2025-08,East,Prism Cloud,78,4296.24,1360,47
2025-08,West,Data Forge,85,5691.6,1480,48
2025-09,North,Analytics Pro,67,2098.44,1160,46
2025-09,South,Insight Lite,74,3196.8,1280,47
2025-09,East,Prism Cloud,81,4461.48,1400,48
2025-09,West,Data Forge,88,5892.48,1520,49
2025-10,North,Analytics Pro,70,2192.4,1200,42
2025-10,South,Insight Lite,77,3326.4,1320,43
2025-10,East,Prism Cloud,84,4626.72,1440,44
2025-10,West,Data Forge,91,6093.36,1560,45
2025-11,North,Analytics Pro,73,2286.36,1240,43
2025-11,South,Insight Lite,80,3456.0,1360,44
2025-11,East,Prism Cloud,87,4791.96,1480,45
2025-11,West,Data Forge,94,6294.24,1600,46
2025-12,North,Analytics Pro,76,2380.32,1280,44
2025-12,South,Insight Lite,83,3585.6,1400,45
2025-12,East,Prism Cloud,90,4957.2,1520,46
2025-12,West,Data Forge,97,6495.12,1640,47
